Property Name,Dividend Date,dividend_per_share
Saturn,6/30/2023,0.06
Luna,6/30/2023,0.18
Lallie,6/30/2023,0.08
Avebury,6/30/2023,0.09
Windsor,6/30/2023,0.17
Soapstone,6/30/2023,0.19
Bayside,6/30/2023,0.16
Holcomb,6/30/2023,0.08
Reynolds,6/30/2023,0.08
Ensenada,6/30/2023,0.11
100,6/30/2023,0.11
Westchester,6/30/2023,0.15
Pecan,6/30/2023,0.21
Salem,6/30/2023,0.17
Grove,6/30/2023,0.07
Stonebriar,6/30/2023,0.07
Limestone,6/30/2023,0.18
Cupcake,6/30/2023,0.21
Eastfair,6/30/2023,0.18
Burlington,6/30/2023,0.07
Wentworth,6/30/2023,0.2
Swift,6/30/2023,0.09
Nugget,6/30/2023,0.07
Kingsley,6/30/2023,0.16
Sugar,6/30/2023,0.08
McGregor,6/30/2023,0.09
Jupiter,6/30/2023,0.07
Collinston,6/30/2023,0.06
Weldon,6/30/2023,0.07
Centennial,6/30/2023,0.12
Baron,6/30/2023,0.07
Pinot,6/30/2023,0.18
Vernon,6/30/2023,0.1
Emporia,6/30/2023,0.05
Wave,6/30/2023,0.05
Dewberry,6/30/2023,0.13
Lanier,6/30/2023,0.1
Meadow,6/30/2023,0.07
Terracotta,6/30/2023,0.13
Mojave,6/30/2023,0.15
Malbec,6/30/2023,0.18
Kennesaw,6/30/2023,0.07
Shoreline,6/30/2023,0.14
Wildwood,6/30/2023,0.08
Bandelier,6/30/2023,0.08
Pioneer,6/30/2023,0.06
Rooney,6/30/2023,0.07
Louise,6/30/2023,0.14
Summerset,6/30/2023,0.05
Pearl,6/30/2023,0.09
Coatbridge,6/30/2023,0.13
Basil,6/30/2023,0.15
Otoro,6/30/2023,0.05
Davidson,6/30/2023,0.07
Hines,6/30/2023,0.09
River,6/30/2023,0.17
Badminton,6/30/2023,0.17
Osprey,6/30/2023,0.08
Matchingham,6/30/2023,0.18
Rosewood,6/30/2023,0.07
Saint,6/30/2023,0.13
Jake,6/30/2023,0.08
Plumtree,6/30/2023,0.25
Greenhill,6/30/2023,0.13
Point,6/30/2023,0.1
Kirkwood,6/30/2023,0.07
McLovin,6/30/2023,0.1
Bedford,6/30/2023,0.15
Grant,6/30/2023,0.11
Abbington,6/30/2023,0.08
Elm,6/30/2023,0.12
Ridge,6/30/2023,0.16
Lovejoy,6/30/2023,0.11
Holloway,6/30/2023,0.16
Wescott,6/30/2023,0.07
Patrick,6/30/2023,0.12
Forest,6/30/2023,0.11
Apollo,6/30/2023,0.08
Scepter,6/30/2023,0.07
Holland,6/30/2023,0.07
Tuxford,6/30/2023,0.08
Jack,6/30/2023,0.08
Mammoth,6/30/2023,0.08
Hollandaise,6/30/2023,0.1
Kawana,6/30/2023,0.12
Odessa,6/30/2023,0.06
Heritage,6/30/2023,0.07
Wisteria,6/30/2023,0.1
Chelsea,6/30/2023,0.12
Chaparral,6/30/2023,0.21
Heron,6/30/2023,0.09
Olive,6/30/2023,0.13
Magnolia,6/30/2023,0.07
Saddlebred,6/30/2023,0.05
Latte,6/30/2023,0.08
Ritter,6/30/2023,0.06
Delta,6/30/2023,0.05
Sigma,6/30/2023,0.1
Lookout,6/30/2023,0.07
Johnny,6/30/2023,0.06
Dunbar,6/30/2023,0.05
June,6/30/2023,0.07
Tulip,6/30/2023,0.05
Lily,6/30/2023,0.05
Roxy,6/30/2023,0.06
Riverwalk,6/30/2023,0.09
Dorchester,6/30/2023,0.07
Clover,6/30/2023,0.13
Collier,6/30/2023,0.07
Folly,6/30/2023,0.08
Walton,6/30/2023,0.06
Dogwood,6/30/2023,0.11
Conway,6/30/2023,0.06
Loretta,6/30/2023,0.06
Kenny,6/30/2023,0.06
Henry,6/30/2023,0.05
Creekside,6/30/2023,0.13
Daisy,6/30/2023,0.11
Sodalis,6/30/2023,0.07
Chitwood,6/30/2023,0.1
Highland,6/30/2023,0.07
Dolly,6/30/2023,0.06
Spring,6/30/2023,0.1
Willow,6/30/2023,0.09
Belle,6/30/2023,0.05
Wilson,6/30/2023,0.1
Richardson,6/30/2023,0.1
Camino,6/30/2023,0.13
Bonneau,6/30/2023,0.08
Reginald,6/30/2023,0.06
Cumberland,6/30/2023,0.12
Marietta,6/30/2023,0.09
Aster,6/30/2023,0.05
Harrison,6/30/2023,0.07
Cypress,6/30/2023,0.06
Bazzel,6/30/2023,0.06
Inglewood,6/30/2023,0.06
Wellington,6/30/2023,0.09
Winston,6/30/2023,0.11
Braxton,6/30/2023,0.13
Blossom,6/30/2023,0.14
Marcelo,6/30/2023,0.12
Jill,6/30/2023,0.08
Quincy,6/30/2023,0.06
Taylor,6/30/2023,0.07
Piedmont,6/30/2023,0.06
Chester,6/30/2023,0.06
Shallowford,6/30/2023,0.08
Kessler,6/30/2023,0.05
Mae,6/30/2023,0.11
Creekwood,6/30/2023,0.06
Oasis,6/30/2023,0.08
Mirage,6/30/2023,0.06
Orchard,6/30/2023,0.12
Cardinal,6/30/2023,0.13
Ace,6/30/2023,0.13
Pointbreak,6/30/2023,0.08
Hammock,6/30/2023,0.12
Hansel,6/30/2023,0.08
Falcon,6/30/2023,0.11
Eagle,6/30/2023,0.11
Goose,6/30/2023,0.14
Mimosa,6/30/2023,0.13
Redondo,6/30/2023,0.08
Sundance,6/30/2023,0.09
Cactus,6/30/2023,0.17
Opry,6/30/2023,0.05
Palm,6/30/2023,0.08
Serenity,6/30/2023,0.13
Sugarcreek,6/30/2023,0.05
Gretal,6/30/2023,0.09
Brooklyn,6/30/2023,0.1
Brainerd,6/30/2023,0.1
Litton,6/30/2023,0.12
Chickamauga,6/30/2023,0.12
Sequoyah,6/30/2023,0.1
Lakeridge,6/30/2023,0.12
Havasu,6/30/2023,0.11
Regal,6/30/2023,0.1
Lurleen,6/30/2023,0.14
Regency,6/30/2023,0.12
Dops,6/30/2023,0.11
Sunnyside,6/30/2023,0.12
Korin,6/30/2023,0.12
Lodge,6/30/2023,0.11
Sheezy,6/30/2023,0.12
Chilhowee,6/30/2023,0.12
Hickorybear,6/30/2023,0.12
Kinlani,6/30/2023,0.12
Myrtle,6/30/2023,0.1
Brennan,6/30/2023,0.08
Sajni,6/30/2023,0.12
Tuscarora,6/30/2023,0.09
Salinas,6/30/2023,0.11
Hansard,6/30/2023,0.11
Jefferson,6/30/2023,0.11
Marie,6/30/2023,0.12
Ella,6/30/2023,0.11
Pasquin,6/30/2023,0.14
Cristalino,6/30/2023,0.12
Hermanos,6/30/2023,0.11
Bowling,6/30/2023,0.11
Emelina,6/30/2023,0.11
Caden,6/30/2023,0.11
Haven,6/30/2023,0.12
Koi,6/30/2023,0.13
Coolbaugh,6/30/2023,0.12
Longbranch,6/30/2023,0.12
Pinkshell,6/30/2023,0.11
Camellia,6/30/2023,0.11
Palmore,6/30/2023,0.1
Brookwood,6/30/2023,0.11
Lithonia,6/30/2023,0.1
Haverhill,6/30/2023,0.1
Woodwind,6/30/2023,0.11
Aspen,6/30/2023,0.13
Thomas,6/30/2023,0.12
Bennett,6/30/2023,0.11
Pickler,6/30/2023,0.12
Loop,6/30/2023,0.12
Summerglen,6/30/2023,0.11
Montgomery,6/30/2023,0.12
Benny,6/30/2023,0.11
Portsmouth,6/30/2023,0.11
Westhaven,6/30/2023,0.11
Hamblen,6/30/2023,0.11
Holmes,6/30/2023,0.1
Wheeler,6/30/2023,0.11
Delta,9/30/2023,0.00
Emporia,9/30/2023,0.08
Lovejoy,9/30/2023,0.1
Wave,9/30/2023,0
Grant,9/30/2023,0.10
Lallie,9/30/2023,0.05
Summerset,9/30/2023,0.05
Spencer,9/30/2023,0.15
Windsor,9/30/2023,0.18
Roseberry,9/30/2023,0.11
Sugar,9/30/2023,0.08
Forest,9/30/2023,0.05
Butter,9/30/2023,0.11
Centennial,9/30/2023,0.11
Meadow,9/30/2023,0.07
Collinston,9/30/2023,0.06
Saturn,9/30/2023,0.06
Amber,9/30/2023,0.06
Jupiter,9/30/2023,0.07
Weldon,9/30/2023,0.07
Holland,9/30/2023,0.07
Davidson,9/30/2023,0.07
Ribbonwalk,9/30/2023,0.07
Saddlebred,9/30/2023,0.06
Lily,9/30/2023,0.05
Kingsley,9/30/2023,0.14
Eastfair,9/30/2023,0.14
Luna,9/30/2023,0.16
Dewberry,9/30/2023,0.12
Badminton,9/30/2023,0.05
Coatbridge,9/30/2023,0.1
Lennox,9/30/2023,0.17
Olive,9/30/2023,0.05
Dawson,9/30/2023,0.08
Ridge,9/30/2023,0
Bayside,9/30/2023,0.15
Elm,9/30/2023,0.08
Westchester,9/30/2023,0.14
Limestone,9/30/2023,0
Greenhill,9/30/2023,0.12
Tuxford,9/30/2023,0.08
Matchingham,9/30/2023,0.18
Murphy,9/30/2023,0.16
Dolittle,9/30/2023,0.1
Odessa,9/30/2023,0.05
Ensenada,9/30/2023,0.1
Oly,9/30/2023,0.09
McLovin,9/30/2023,0.1
Holloway,9/30/2023,0.15
Basil,9/30/2023,0.13
Shoreline,9/30/2023,0.13
River,9/30/2023,0.17
Elevation,9/30/2023,0.05
Vernon,9/30/2023,0.09
Kawana,9/30/2023,0.11
Plumtree,9/30/2023,0.25
Chaparral,9/30/2023,0.2
Lierly,9/30/2023,0.23
Patrick,9/30/2023,0.1
Soapstone,9/30/2023,0.18
Pecan,9/30/2023,0.2
Splash,9/30/2023,0.19
Malbec,9/30/2023,0.16
Pinot,9/30/2023,0.15
Salem,9/30/2023,0.14
Tuscan,9/30/2023,0.05
Mojave,9/30/2023,0.15
Wentworth,9/30/2023,0.19
Cupcake,9/30/2023,0.21
Rooney,9/30/2023,0.07
KerriAnn,9/30/2023,0.06
Sigma,9/30/2023,0.09
Saint,9/30/2023,0.12
Scepter,9/30/2023,0.07
Bandelier,9/30/2023,0.07
Diablo,9/30/2023,0.06
Chelsea,9/30/2023,0.12
Terracotta,9/30/2023,0.12
Otoro,9/30/2023,0.09
Hollandaise,9/30/2023,0.09
Hadden,9/30/2023,0.15
Avebury,9/30/2023,0.09
Tulip,9/30/2023,0.08
Jack,9/30/2023,0.07
Bedford,9/30/2023,0.16
Louise,9/30/2023,0.13
Gardens,9/30/2023,0.12
Peanut,9/30/2023,0.1
100,9/30/2023,0.09
Grove,9/30/2023,0.07
Lanier,9/30/2023,0.09
Mammoth,9/30/2023,0.08
McGregor,9/30/2023,0.08
Point,9/30/2023,0.09
Roxy,9/30/2023,0.06
Wisteria,9/30/2023,0.1
Heron,9/30/2023,0.08
Stonebriar,9/30/2023,0.07
Heritage,9/30/2023,0.07
Magnolia,9/30/2023,0.07
Kirkwood,9/30/2023,0.07
Rosewood,9/30/2023,0.06
Apollo,9/30/2023,0.08
Baron,9/30/2023,0.07
Swift,9/30/2023,0.08
Wescott,9/30/2023,0.05
Wildwood,9/30/2023,0.08
Madison,9/30/2023,0.06
Abbington,9/30/2023,0.06
Burlington,9/30/2023,0.07
Lannister,9/30/2023,0.07
Nugget,9/30/2023,0.07
Pearl,9/30/2023,0.09
Hines,9/30/2023,0.08
Ritter,9/30/2023,0.06
101,9/30/2023,0.06
Jake,9/30/2023,0.05
Holcomb,9/30/2023,0.07
Latte,9/30/2023,0.08
Dunbar,9/30/2023,0.05
Lookout,9/30/2023,0.07
Reynolds,9/30/2023,0.08
Kennesaw,9/30/2023,0.06
Pioneer,9/30/2023,0.06
Bazzel,9/30/2023,0.05
June,9/30/2023,0.07
Johnny,9/30/2023,0.06
Osprey,9/30/2023,0.07
Riverwalk,9/30/2023,0.08
Collier,9/30/2023,0.07
Folly,9/30/2023,0.07
Dorchester,9/30/2023,0.07
Dogwood,9/30/2023,0.1
Walton,9/30/2023,0.06
Clover,9/30/2023,0.13
Dolly,9/30/2023,0.05
Kenny,9/30/2023,0.05
Creekside,9/30/2023,0.13
Willow,9/30/2023,0.09
Wilson,9/30/2023,0.09
Daisy,9/30/2023,0.11
Henry,9/30/2023,0
Sodalis,9/30/2023,0.07
Loretta,9/30/2023,0.05
Conway,9/30/2023,0.05
Belle,9/30/2023,0.07
Chitwood,9/30/2023,0.09
Spring,9/30/2023,0.09
Highland,9/30/2023,0.07
Wellington,9/30/2023,0.09
Braxton,9/30/2023,0.13
Reginald,9/30/2023,0.06
Camino,9/30/2023,0.13
Winston,9/30/2023,0.11
Inglewood,9/30/2023,0.06
Richardson,9/30/2023,0.1
Cumberland,9/30/2023,0.12
Bonneau,9/30/2023,0.07
Blossom,9/30/2023,0.1
Marcelo,9/30/2023,0.11
Taylor,9/30/2023,0.07
Aster,9/30/2023,0.05
Quincy,9/30/2023,0.06
Jill,9/30/2023,0.08
Marietta,9/30/2023,0.09
Mae,9/30/2023,0.11
Chester,9/30/2023,0.06
Shallowford,9/30/2023,0.08
Cypress,9/30/2023,0.06
Harrison,9/30/2023,0.06
Piedmont,9/30/2023,0.06
Kessler,9/30/2023,0.05
Creekwood,9/30/2023,0.06
Oasis,9/30/2023,0.11
Pointbreak,9/30/2023,0.08
Hammock,9/30/2023,0.12
Ace,9/30/2023,0.13
Cardinal,9/30/2023,0.13
Orchard,9/30/2023,0
Mirage,9/30/2023,0.06
Hansel,9/30/2023,0.08
Falcon,9/30/2023,0.12
Eagle,9/30/2023,0.12
Goose,9/30/2023,0.14
Cactus,9/30/2023,0.13
Opry,9/30/2023,0.09
Gretal,9/30/2023,0.08
Mimosa,9/30/2023,0.13
Redondo,9/30/2023,0.08
Sundance,9/30/2023,0.09
Lakeridge,9/30/2023,0
Serenity,9/30/2023,0.13
Sugarcreek,9/30/2023,0
Palm,9/30/2023,0
Chickamauga,9/30/2023,0.08
Sequoyah,9/30/2023,0.1
Havasu,9/30/2023,0.11
Litton,9/30/2023,0.12
Brainerd,9/30/2023,0.11
Brooklyn,9/30/2023,0.09
Regal,9/30/2023,0.1
Lurleen,9/30/2023,0.14
Regency,9/30/2023,0.13
Haven,9/30/2023,0.12
Sunnyside,9/30/2023,0.14
Korin,9/30/2023,0.13
Dops,9/30/2023,0.12
Lodge,9/30/2023,0.11
Chilhowee,9/30/2023,0.12
Sheezy,9/30/2023,0.14
Myrtle,9/30/2023,0.1
Kinlani,9/30/2023,0.12
Hickorybear,9/30/2023,0.12
Brennan,9/30/2023,0.06
Sajni,9/30/2023,0.12
Tuscarora,9/30/2023,0.1
Salinas,9/30/2023,0.11
Hansard,9/30/2023,0.12
Jefferson,9/30/2023,0.12
Marie,9/30/2023,0.13
Ella,9/30/2023,0.11
Cristalino,9/30/2023,0
Hermanos,9/30/2023,0.11
Bowling,9/30/2023,0.11
Emelina,9/30/2023,0.11
Caden,9/30/2023,0.11
Pasquin,9/30/2023,0.08
Koi,9/30/2023,0
Longbranch,9/30/2023,0.12
Coolbaugh,9/30/2023,0.12
Pinkshell,9/30/2023,0.11
Camellia,9/30/2023,0.12
Palmore,9/30/2023,0.11
Brookwood,9/30/2023,0.11
Lithonia,9/30/2023,0.1
Haverhill,9/30/2023,0.1
Woodwind,9/30/2023,0.11
Aspen,9/30/2023,0
Thomas,9/30/2023,0.12
Bennett,9/30/2023,0.12
Loop,9/30/2023,0.12
Pickler,9/30/2023,0.12
Benny,9/30/2023,0.08
Montgomery,9/30/2023,0
Summerglen,9/30/2023,0.12
Portsmouth,9/30/2023,0.12
Westhaven,9/30/2023,0.12
Wheeler,9/30/2023,0.13
Holmes,9/30/2023,0.12
Hamblen,9/30/2023,0.12
Cordero,9/30/2023,0.12
Ethan,9/30/2023,0.11
Watson,9/30/2023,0.1
Helmerich,9/30/2023,0.1
Claremore,9/30/2023,0.1
Haikey,9/30/2023,0.1
Bryant,9/30/2023,0.11
Wynde,9/30/2023,0.12
Hancock,9/30/2023,0.11
Alta,9/30/2023,0.12
Vita,9/30/2023,0.11
Preciosa,9/30/2023,0.13
Seafoam,9/30/2023,0.11
Tiara,9/30/2023,0.12
Coquina,9/30/2023,0.11
Billingswood,9/30/2023,0.11
Smokey,9/30/2023,0.12
Cove,9/30/2023,0.11
Belvedere,9/30/2023,0.11
Avondale,9/30/2023,0.1
Martell,9/30/2023,0.11
Mycroft,9/30/2023,0.11
Louis,9/30/2023,0.09
Longwoods,9/30/2023,0.09
Sims,9/30/2023,0.1
Fenwick,9/30/2023,0.1
Cawley,9/30/2023,0.1
Foster,9/30/2023,0.12
Marple,9/30/2023,0.11
Mary,9/30/2023,0.1
Onyx,9/30/2023,0.1
Porthos,9/30/2023,0.11
Simon,9/30/2023,0.1
Felix,9/30/2023,0.1
Delta,12/31/2023,0.00
Emporia,12/31/2023,0.08
Lovejoy,12/31/2023,0.10
Wave,12/31/2023,0.00
Grant,12/31/2023,0.10
Lallie,12/31/2023,0.00
Summerset,12/31/2023,0.05
Spencer,12/31/2023,0.13
Windsor,12/31/2023,0.15
Roseberry,12/31/2023,0.11
Sugar,12/31/2023,0.08
Forest,12/31/2023,0.00
Butter,12/31/2023,0.11
Centennial,12/31/2023,0.11
Meadow,12/31/2023,0.07
Collinston,12/31/2023,0.00
Saturn,12/31/2023,0.09
Amber,12/31/2023,0.06
Jupiter,12/31/2023,0.07
Weldon,12/31/2023,0.07
Holland,12/31/2023,0.07
Davidson,12/31/2023,0.07
Ribbonwalk,12/31/2023,0.07
Saddlebred,12/31/2023,0.06
Lily,12/31/2023,0.03
Kingsley,12/31/2023,0.12
Eastfair,12/31/2023,0.13
Luna,12/31/2023,0.15
Dewberry,12/31/2023,0.10
Badminton,12/31/2023,0.08
Coatbridge,12/31/2023,0.10
Lennox,12/31/2023,0.15
Olive,12/31/2023,0.10
Dawson,12/31/2023,0.08
Ridge,12/31/2023,0.14
Bayside,12/31/2023,0.14
Elm,12/31/2023,0.08
Westchester,12/31/2023,0.13
Limestone,12/31/2023,0.00
Greenhill,12/31/2023,0.12
Tuxford,12/31/2023,0.08
Matchingham,12/31/2023,0.18
Murphy,12/31/2023,0.14
Dolittle,12/31/2023,0.10
Odessa,12/31/2023,0.06
Ensenada,12/31/2023,0.10
Oly,12/31/2023,0.09
McLovin,12/31/2023,0.10
Holloway,12/31/2023,0.13
Basil,12/31/2023,0.10
Shoreline,12/31/2023,0.10
River,12/31/2023,0.15
Elevation,12/31/2023,0.05
Vernon,12/31/2023,0.09
Kawana,12/31/2023,0.11
Plumtree,12/31/2023,0.23
Chaparral,12/31/2023,0.20
Lierly,12/31/2023,0.23
Patrick,12/31/2023,0.10
Soapstone,12/31/2023,0.18
Pecan,12/31/2023,0.20
Splash,12/31/2023,0.19
Malbec,12/31/2023,0.14
Pinot,12/31/2023,0.15
Salem,12/31/2023,0.14
Tuscan,12/31/2023,0.10
Mojave,12/31/2023,0.15
Wentworth,12/31/2023,0.19
Cupcake,12/31/2023,0.19
Rooney,12/31/2023,0.07
KerriAnn,12/31/2023,0.06
Sigma,12/31/2023,0.09
Saint,12/31/2023,0.12
Scepter,12/31/2023,0.07
Bandelier,12/31/2023,0.07
Diablo,12/31/2023,0.06
Chelsea,12/31/2023,0.12
Terracotta,12/31/2023,0.12
Otoro,12/31/2023,0.00
Hollandaise,12/31/2023,0.09
Hadden,12/31/2023,0.15
Avebury,12/31/2023,0.09
Tulip,12/31/2023,0.08
Jack,12/31/2023,0.07
Bedford,12/31/2023,0.16
Louise,12/31/2023,0.13
Gardens,12/31/2023,0.12
Peanut,12/31/2023,0.10
100,12/31/2023,0.09
Grove,12/31/2023,0.07
Lanier,12/31/2023,0.09
Mammoth,12/31/2023,0.00
McGregor,12/31/2023,0.08
Point,12/31/2023,0.09
Roxy,12/31/2023,0.06
Wisteria,12/31/2023,0.06
Heron,12/31/2023,0.08
Stonebriar,12/31/2023,0.07
Heritage,12/31/2023,0.08
Magnolia,12/31/2023,0.08
Kirkwood,12/31/2023,0.07
Rosewood,12/31/2023,0.06
Apollo,12/31/2023,0.08
Baron,12/31/2023,0.05
Swift,12/31/2023,0.07
Wescott,12/31/2023,0.05
Wildwood,12/31/2023,0.08
Madison,12/31/2023,0.06
Abbington,12/31/2023,0.05
Burlington,12/31/2023,0.05
Lannister,12/31/2023,0.07
Nugget,12/31/2023,0.07
Pearl,12/31/2023,0.08
Hines,12/31/2023,0.07
Ritter,12/31/2023,0.00
101,12/31/2023,0.03
Jake,12/31/2023,0.05
Holcomb,12/31/2023,0.07
Latte,12/31/2023,0.06
Dunbar,12/31/2023,0.05
Lookout,12/31/2023,0.07
Reynolds,12/31/2023,0.07
Kennesaw,12/31/2023,0.06
Pioneer,12/31/2023,0.05
Bazzel,12/31/2023,0.00
June,12/31/2023,0.05
Johnny,12/31/2023,0.06
Osprey,12/31/2023,0.06
Riverwalk,12/31/2023,0.00
Collier,12/31/2023,0.07
Folly,12/31/2023,0.07
Dorchester,12/31/2023,0.07
Dogwood,12/31/2023,0.09
Walton,12/31/2023,0.06
Clover,12/31/2023,0.10
Dolly,12/31/2023,0.03
Kenny,12/31/2023,0.03
Creekside,12/31/2023,0.10
Willow,12/31/2023,0.09
Wilson,12/31/2023,0.09
Daisy,12/31/2023,0.09
Henry,12/31/2023,0.00
Sodalis,12/31/2023,0.06
Loretta,12/31/2023,0.03
Conway,12/31/2023,0.03
Belle,12/31/2023,0.05
Chitwood,12/31/2023,0.09
Spring,12/31/2023,0.09
Highland,12/31/2023,0.07
Wellington,12/31/2023,0.09
Braxton,12/31/2023,0.12
Reginald,12/31/2023,0.05
Camino,12/31/2023,0.10
Winston,12/31/2023,0.09
Inglewood,12/31/2023,0.06
Richardson,12/31/2023,0.09
Cumberland,12/31/2023,0.09
Bonneau,12/31/2023,0.07
Blossom,12/31/2023,0.10
Marcelo,12/31/2023,0.11
Taylor,12/31/2023,0.06
Aster,12/31/2023,0.05
Quincy,12/31/2023,0.06
Jill,12/31/2023,0.08
Marietta,12/31/2023,0.08
Mae,12/31/2023,0.09
Chester,12/31/2023,0.06
Shallowford,12/31/2023,0.08
Cypress,12/31/2023,0.06
Harrison,12/31/2023,0.06
Piedmont,12/31/2023,0.06
Kessler,12/31/2023,0.05
Creekwood,12/31/2023,0.06
Oasis,12/31/2023,0.11
Pointbreak,12/31/2023,0.05
Hammock,12/31/2023,0.05
Ace,12/31/2023,0.13
Cardinal,12/31/2023,0.13
Orchard,12/31/2023,0.05
Mirage,12/31/2023,0.06
Hansel,12/31/2023,0.08
Falcon,12/31/2023,0.12
Eagle,12/31/2023,0.13
Goose,12/31/2023,0.14
Cactus,12/31/2023,0.13
Opry,12/31/2023,0.09
Gretal,12/31/2023,0.08
Mimosa,12/31/2023,0.12
Redondo,12/31/2023,0.08
Sundance,12/31/2023,0.09
Lakeridge,12/31/2023,0.05
Serenity,12/31/2023,0.15
Sugarcreek,12/31/2023,0.05
Palm,12/31/2023,0.05
Chickamauga,12/31/2023,0.10
Sequoyah,12/31/2023,0.09
Havasu,12/31/2023,0.08
Litton,12/31/2023,0.11
Brainerd,12/31/2023,0.11
Brooklyn,12/31/2023,0.09
Regal,12/31/2023,0.10
Lurleen,12/31/2023,0.12
Haven,12/31/2023,0.10
Regency,12/31/2023,0.13
Sunnyside,12/31/2023,0.14
Korin,12/31/2023,0.12
Dops,12/31/2023,0.12
Lodge,12/31/2023,0.11
Chilhowee,12/31/2023,0.12
Sheezy,12/31/2023,0.14
Myrtle,12/31/2023,0.07
Kinlani,12/31/2023,0.12
Hickorybear,12/31/2023,0.12
Brennan,12/31/2023,0.00
Sajni,12/31/2023,0.12
Tuscarora,12/31/2023,0.11
Salinas,12/31/2023,0.09
Hansard,12/31/2023,0.12
Jefferson,12/31/2023,0.12
Marie,12/31/2023,0.13
Ella,12/31/2023,0.11
Cristalino,12/31/2023,0.00
Hermanos,12/31/2023,0.09
Bowling,12/31/2023,0.11
Emelina,12/31/2023,0.09
Caden,12/31/2023,0.09
Pasquin,12/31/2023,0.07
Koi,12/31/2023,0.05
Longbranch,12/31/2023,0.12
Coolbaugh,12/31/2023,0.07
Pinkshell,12/31/2023,0.07
Camellia,12/31/2023,0.12
Palmore,12/31/2023,0.11
Brookwood,12/31/2023,0.10
Lithonia,12/31/2023,0.10
Haverhill,12/31/2023,0.00
Woodwind,12/31/2023,0.11
Aspen,12/31/2023,0.00
Thomas,12/31/2023,0.12
Bennett,12/31/2023,0.12
Loop,12/31/2023,0.07
Pickler,12/31/2023,0.10
Benny,12/31/2023,0.11
Montgomery,12/31/2023,0.00
Summerglen,12/31/2023,0.12
Portsmouth,12/31/2023,0.13
Westhaven,12/31/2023,0.13
Wheeler,12/31/2023,0.13
Holmes,12/31/2023,0.14
Hamblen,12/31/2023,0.12
Cordero,12/31/2023,0.13
Ethan,12/31/2023,0.09
Watson,12/31/2023,0.12
Helmerich,12/31/2023,0.11
Claremore,12/31/2023,0.11
Haikey,12/31/2023,0.11
Bryant,12/31/2023,0.11
Wynde,12/31/2023,0.10
Hancock,12/31/2023,0.10
Alta,12/31/2023,0.00
Vita,12/31/2023,0.00
Preciosa,12/31/2023,0.10
Seafoam,12/31/2023,0.07
Tiara,12/31/2023,0.07
Coquina,12/31/2023,0.07
Billingswood,12/31/2023,0.07
Smokey,12/31/2023,0.07
Cove,12/31/2023,0.12
Belvedere,12/31/2023,0.12
Avondale,12/31/2023,0.10
Martell,12/31/2023,0.00
Mycroft,12/31/2023,0.12
Louis,12/31/2023,0.10
Longwoods,12/31/2023,0.10
Sims,12/31/2023,0.10
Fenwick,12/31/2023,0.11
Cawley,12/31/2023,0.11
Foster,12/31/2023,0.13
Marple,12/31/2023,0.12
Mary,12/31/2023,0.11
Onyx,12/31/2023,0.10
Porthos,12/31/2023,0.12
Simon,12/31/2023,0.11
Felix,12/31/2023,0.11
Osceola,12/31/2023,0.10
Knoll,12/31/2023,0.12
Sandbar,12/31/2023,0.12
Augusta,12/31/2023,0.10
Bella,12/31/2023,0.11
Franklin,12/31/2023,0.09
General,12/31/2023,0.11
Marion,12/31/2023,0.10
Palmer,12/31/2023,0.10
Theodore,12/31/2023,0.10
Solstice,12/31/2023,0.13
Bergenia,12/31/2023,0.11
Chinook,12/31/2023,0.11
Ellen,12/31/2023,0.09
Oscar,12/31/2023,0.10
SuiteSpot,12/31/2023,0.12
Lucas,12/31/2023,0.13
Woodland,12/31/2023,0.14
Pongo,12/31/2023,0.10
Arkoma,12/31/2023,0.11
Gordon,12/31/2023,0.11
Macomber,12/31/2023,0.11
Meridian,12/31/2023,0.11
Perdita,12/31/2023,0.09
Mallard,12/31/2023,0.14
Williamson,12/31/2023,0.13
Tytus,12/31/2023,0.12
Riverwood,12/31/2023,0.10
Roanoke,12/31/2023,0.12
Athos,12/31/2023,0.11
Barclay,12/31/2023,0.10
Liberty,12/31/2023,0.12
Bluebell,12/31/2023,0.11
Bradford,12/31/2023,0.09
Zane,12/31/2023,0.13
Antares,12/31/2023,0.10
Caterpillar,12/31/2023,0.08
Sherwood,12/31/2023,0.11
Sansa,12/31/2023,0.11
Tansel,12/31/2023,0.11
Lierly,1/31/2024,0.077
Soapstone,1/31/2024,0.060
Pecan,1/31/2024,0.067
Patrick,1/31/2024,0.033
Plumtree,1/31/2024,0.077
Chaparral,1/31/2024,0.067
Splash,1/31/2024,0.063
Tuscan,1/31/2024,0.033
Salem,1/31/2024,0.047
Malbec,1/31/2024,0.047
Pinot,1/31/2024,0.050
Luna,1/31/2024,0.050
Kingsley,1/31/2024,0.040
Shoreline,1/31/2024,0.033
Holloway,1/31/2024,0.043
Badminton,1/31/2024,0.027
Eastfair,1/31/2024,0.043
Centennial,1/31/2024,0.037
Mojave,1/31/2024,0.050
Wentworth,1/31/2024,0.063
Cupcake,1/31/2024,0.063
Basil,1/31/2024,0.033
Lallie,1/31/2024,0.022
Dewberry,1/31/2024,0.033
Spencer,1/31/2024,0.043
Summerset,1/31/2024,0.017
Roseberry,1/31/2024,0.037
Windsor,1/31/2024,0.050
Forest,1/31/2024,0.000
Meadow,1/31/2024,0.023
Collinston,1/31/2024,0.000
