Property Name,Escrow close
Seafoam,6/9/2023
Tiara,6/2/2023
Coquina,6/26/2023
Billingswood,6/26/2023
Smokey,6/26/2023
Cove,6/2/2023
Belvedere,6/2/2023
Avondale,6/9/2023
Martell,6/2/2023
Mycroft,6/26/2023
Louis,8/24/2023
Longwoods,7/17/2023
Sims,6/30/2023
Fenwick,8/4/2023
Cawley,7/27/2023
Foster,7/20/2023
Marple,6/30/2023
Mary,8/8/2023
Onyx,8/22/2023
Porthos,7/19/2023
Simon,7/14/2023
Felix,8/22/2023
Osceola,8/22/2023
Knoll,8/22/2023
Sandbar,8/12/2023
Augusta,8/22/2023
Bella,7/26/2023
Franklin,9/11/2023
General,9/12/2023
Marion,8/10/2023
Palmer,9/15/2023
Theodore,9/12/2023
Solstice,8/25/2023
Bergenia,8/30/2023
Chinook,8/30/2023
Ellen,9/22/2023
Oscar,9/25/2023
SuiteSpot,9/16/2023
Lucas,10/17/2023
Woodland,10/17/2023
Pongo,10/17/2023
Arkoma,10/13/2023
Gordon,10/17/2023
Macomber,10/17/2023
Meridian,10/18/2023
Perdita,10/17/2023
Mallard,10/13/2023
Williamson,10/17/2023
Tytus,10/18/2023
Riverwood,10/23/2023
Roanoke,10/18/2023
Athos,10/18/2023
Barclay,10/18/2023
Liberty,10/18/2023
Bluebell,10/25/2023
Bradford,10/25/2023
Zane,11/1/2023
Antares,11/16/2023
Caterpillar,10/25/2023
Sherwood,10/25/2023
Sansa,11/16/2023
Tansel,10/27/2023
Alvin,1/4/2024
Ballinger,12/28/2023
Briarwood,12/27/2023
Eastwood,12/27/2023
Abernant,1/5/2024
Calvin,12/27/2023
Fletcher,12/19/2023
Irene,12/29/2023
Peterson,12/19/2023
Richmond,1/4/2024
Winchester,12/28/2023
Bean,10/25/2023
Ellie,10/25/2023
Aramis,10/18/2023
Arya,11/16/2023
Marcy,11/16/2023
Haybridge,12/1/2023
Layla,11/30/2023
Lola,11/30/2023
Ratliff,11/30/2023
Collinison,12/21/2023
Hardman,12/21/2023
Pebblestone,12/11/2023
Keystone,12/13/2023
Frances,1/31/2024
Ross,1/26/2024
Wyndhurst,1/18/2024
Vanzant,1/26/2024
Hargrave,1/8/2024
Hedgecrest,12/1/2023
Rachel,1/31/2024
Northbrook,12/11/2023
Hobbes,12/27/2023
Northridge,1/12/2024
Breckenridge,5/28/2024
Glenncrest,6/20/2024
Laurel,6/20/2024
Oakland,7/11/2024
Phoebe,6/20/2024
Allen,6/27/2024
Sanford,6/24/2024
Sedgefield,8/2/2024
Westgate,7/23/2024
Resolana,8/5/2024
Johnson,8/12/2024
Tyner,5/28/2024
Sandridge,9/3/2024
Cordelia,7/16/2024
Dan,7/26/2024
Nicole,9/11/2024
Sullivan,9/18/2024
Cole,9/20/2024
Beatbox,10/11/2024
Flintwood,10/8/2024
Arnold,10/11/2024
Monterey,8/20/2024
Mystic,9/9/2024
Seneca,10/21/2024
Solano,11/14/2024
Byers,12/11/2024
Robinson,11/27/2024
Gerald,11/27/2024
Lois,12/11/2024
Harold,10/1/2024
Commodore,12/4/2024
Sachi,12/31/2024
Misty,12/31/2024
Langley,1/10/2025
Wendell,11/14/2024
Wizard,10/31/2024
Annadale,11/6/2024
Adams,1/10/2025
Westbury,12/18/2024
Gentry,1/30/2025
Troxler,2/3/2025
Bristol,12/18/2024
